claim_id,retailer_id,claim_date,invoice_id,promo_id,claim_type,claimed_amount_usd,Raw_Claim_Text,supporting_doc_ref
CLM-0011,RET-004,2026-08-23,INV-004-0006,PRM-0022,Promo Discount Support,1326.82,"claiming promotional discount support Mid-Year Mega - total $1,326.82. see attached remittance",DOC-0011.pdf
CLM-0012,RET-005,2026-08-23,INV-005-0009,,Damages,435.05,DMG claim $435.05 - pls credit note,DOC-0012.pdf
CLM-0013,RET-004,2026-08-23,INV-004-0006,,Price Difference,46.05,invoice priced higher than trade terms. diff $46.05,DOC-0013.pdf
CLM-0014,RET-001,2026-06-18,INV-001-0039,,Damages,42.66,DMG CLAIM $42.66 - PLS CREDIT NOTE,DOC-0014.pdf
CLM-0015,RET-002,2026-06-18,INV-002-0003,,Listing Fee,591.08,LISTING FEE Q3 - $591.08 - ref INV-002-0003,DOC-0015.pdf
CLM-0016,RET-002,2026-06-11,INV-002-0008,PRM-0008,Promo Discount Support,1516.78,"Deduction taken: Diaper Intro Offer support. USD 1,516.78. contact acct team for query",DOC-0016.pdf
CLM-0017,RET-003,2026-05-26,INV-003-0007,,Promo Discount Support,1058.21,"CLAIMING PROMOTIONAL DISCOUNT SUPPORT DIAPER INTRO OFFER - TOTAL USD 1,058.21. SEE ATTACHED REMITTANCE",
CLM-0018,RET-004,2026-08-23,INV-004-0010,,Shortage,151.61,SHORT DELIVERY ON INV-004-0010. SHORTFALL VALUE USD 151.61,DOC-0018.pdf
CLM-0019,RET-003,2026-04-11,INV-003-0005,,Listing Fee,591.57,"LISTING FEE Q3 - $591.57 - REF INV-003-0005  //fwd from finance team, pls action",DOC-0019.pdf
CLM-0020,RET-003,2026-04-06,INV-003-0013,PRM-0016,Promo Discount Support,1320.27,"Pls process promo support for Diaper Intro Offer as per agreement. amt USD 1,320.27. inv ref INV-003-0013  //fwd from finance team, pls action",DOC-0020.pdf
CLM-0021,RET-001,2026-04-03,INV-001-0018,,Damages,40.96,"damaged stock on delivery INV-001-0018, claiming USD 40.96",
CLM-0022,RET-002,2026-06-16,INV-002-0008,,Freight,383.22,delivery charge back $383.22,
CLM-0023,RET-001,2026-02-21,INV-001-0043,PRM-0003,Promo Discount Support,422.05,Deduction taken: Ramadan Bundle support. USD 422.05. contact acct team for query,DOC-0023.pdf
CLM-0024,RET-003,2026-04-26,INV-003-0011,,Shortage,318.18,short delivery on INV-003-0011. shortfall value USD 318.18,DOC-0024.pdf
CLM-0025,RET-002,2026-01-15,INV-002-0011,,Listing Fee,589.61,"ANNUAL LISTING FEE NEW SKU. USD 589.61. PER TRADE TERMS  //fwd from finance team, pls action",DOC-0025.pdf
CLM-0026,RET-004,2025-11-27,INV-004-0028,,Shortage,39.34,short delivery on INV-004-0028. shortfall value $39.34,
CLM-0027,RET-001,2026-06-01,INV-001-0001,PRM-0002,Promo Discount Support,895.35,Pls process promo support for Ramadan Bundle as per agreement. amt $895.35. inv ref INV-001-0001,DOC-0027.pdf
CLM-0028,RET-005,2025-12-26,INV-005-0006,,Listing Fee,196.19,ANNUAL LISTING FEE NEW SKU. USD 196.19. PER TRADE TERMS,DOC-0028.pdf
CLM-0029,RET-005,2026-07-22,INV-005-0014,,Shortage,208.28,"qty shortage claim $208.28  //fwd from finance team, pls action",DOC-0029.pdf
CLM-0030,RET-003,2026-04-13,INV-003-0011,PRM-0013,Co-op Marketing,1252.98,"CO-OP MARKETING CONTRIBUTION SHELF RESET $1,252.98  //fwd from finance team, pls action",DOC-0030.pdf
CLM-0031,RET-005,2026-04-12,INV-005-0005,,Freight,226.93,FREIGHT RECOVERY USD 226.93 INV INV-005-0005,DOC-0031.pdf
CLM-0032,RET-004,2026-08-08,INV-004-0015,,Co-op Marketing,3495.5,"marketing coop claim - USD 3,495.50",DOC-0032.pdf
CLM-0033,RET-005,2026-08-23,INV-005-0004,PRM-0028,Co-op Marketing,1624.71,"CO-OP MARKETING CONTRIBUTION PAYDAY SALE USD 1,624.71  (resubmission - not yet paid?)",DOC-0033.pdf
CLM-0034,RET-004,2026-07-03,INV-004-0005,PRM-0018,Promo Discount Support,896.96,claiming promotional discount support Festive Gifting - total USD 896.96. see attached remittance,DOC-0034.pdf
CLM-0035,RET-003,2026-04-22,INV-003-0003,,Shortage,245.01,short delivery on INV-003-0003. shortfall value USD 245.01,
CLM-0036,RET-004,2026-02-14,INV-004-0023,,Freight,76.55,"freight recovery $76.55 inv INV-004-0023  //fwd from finance team, pls action",
CLM-0037,RET-006,2026-05-19,INV-006-0006,,Freight,436.4,"delivery charge back USD 436.40  //fwd from finance team, pls action",DOC-0037.pdf
CLM-0038,RET-004,2025-12-22,INV-004-0027,PRM-0018,Co-op Marketing,900.96,co-op marketing contribution Festive Gifting $900.96,DOC-0038.pdf
CLM-0039,RET-003,2026-03-26,INV-003-0013,,Damages,53.61,Goods received damaged. Raising claim $53.61. photos w/ store mgr,DOC-0039.pdf
CLM-0040,RET-004,2026-07-22,INV-004-0003,,Damages,124.77,"DAMAGED STOCK ON DELIVERY INV-004-0003, CLAIMING $124.77",
CLM-0041,RET-002,2026-08-23,INV-002-0007,PRM-0009,Promo Discount Support,1133.63,"claiming promotional discount support Diaper Intro Offer - total $1,133.63. see attached remittance  //fwd from finance team, pls action",DOC-0041.pdf
CLM-0042,RET-006,2026-01-18,INV-006-0012,PRM-0033,Listing Fee,5922.31,"Annual listing fee new SKU. USD 5,922.31. per trade terms",
CLM-0043,RET-003,2026-04-13,INV-003-0016,,Damages,256.62,Goods received damaged. Raising claim USD 256.62. photos w/ store mgr,
CLM-0044,RET-005,2025-10-31,INV-005-0011,,Shortage,39.75,short delivery on INV-005-0011. shortfall value $39.75,
CLM-0045,RET-001,2026-04-15,INV-001-0032,,Price Difference,152.98,INVOICE PRICED HIGHER THAN TRADE TERMS. DIFF $152.98,
CLM-0046,RET-005,2025-12-09,INV-005-0000,PRM-0029,Promo Discount Support,315.04,claiming promotional discount support Shelf Reset - total $315.04. see attached remittance,DOC-0046.pdf
CLM-0047,RET-001,2025-10-14,INV-001-0025,,Freight,141.35,freight recovery USD 141.35 inv INV-001-0025,
CLM-0048,RET-003,2026-04-02,INV-003-0007,PRM-0012,Co-op Marketing,1108.69,"marketing coop claim - USD 1,108.69  //fwd from finance team, pls action",DOC-0048.pdf
CLM-0049,RET-004,2026-08-23,INV-004-0012,PRM-0020,Co-op Marketing,1392.98,"MARKETING COOP CLAIM - $1,392.98",
CLM-0050,RET-002,2025-11-19,INV-002-0011,PRM-0008,Promo Discount Support,1498.19,"Deduction taken: Diaper Intro Offer support. $1,498.19. contact acct team for query",DOC-0050.pdf
CLM-0051,RET-004,2026-08-23,INV-004-0033,PRM-0019,Damages,342.61,"damaged stock on delivery INV-004-0033, claiming USD 342.61",
CLM-0052,RET-006,2026-08-23,INV-006-0002,PRM-0034,Co-op Marketing,699.95,marketing coop claim - $699.95,
CLM-0053,RET-005,2025-11-29,INV-005-0006,,Price Difference,129.48,"PRICE DIFF VS AGREED LIST, CLAIMING USD 129.48, INV INV-005-0006",DOC-0053.pdf
CLM-0054,RET-003,2026-05-31,INV-003-0003,PRM-0016,Co-op Marketing,1280.11,"MARKETING COOP CLAIM - $1,280.11",
CLM-0055,RET-002,2025-12-01,INV-002-0011,PRM-0007,Co-op Marketing,1275.23,"marketing coop claim - USD 1,275.23",DOC-0055.pdf
CLM-0056,RET-006,2026-02-13,INV-006-0008,PRM-0035,Promo Discount Support,877.45,CLAIMING PROMOTIONAL DISCOUNT SUPPORT BACK-TO-CAMPUS - TOTAL USD 877.45. SEE ATTACHED REMITTANCE  (resubmission - not yet paid?),DOC-0056.pdf
CLM-0057,RET-006,2025-10-20,INV-006-0011,PRM-0035,Co-op Marketing,1070.39,"co-op marketing contribution Back-to-Campus USD 1,070.39",DOC-0057.pdf
CLM-0058,RET-005,2026-08-23,INV-005-0003,,Damages,245.47,"damaged stock on delivery INV-005-0003, claiming $245.47",
CLM-0059,RET-001,2026-01-08,INV-001-0021,,Freight,225.53,FREIGHT RECOVERY $225.53 INV INV-001-0021,DOC-0059.pdf
CLM-0060,RET-003,2025-12-11,INV-003-0015,,Listing Fee,604.45,LISTING FEE Q3 - USD 604.45 - ref INV-003-0015,DOC-0060.pdf
CLM-0061,RET-005,2026-08-23,INV-005-0004,,Damages,52.52,DMG claim USD 52.52 - pls credit note,DOC-0061.pdf
CLM-0062,RET-003,2026-08-08,INV-003-0008,,Freight,345.35,freight recovery $345.35 inv INV-003-0008,DOC-0062.pdf
CLM-0063,RET-004,2026-05-12,INV-004-0003,PRM-0022,Co-op Marketing,1343.87,"co-op marketing contribution Mid-Year Mega $1,343.87",DOC-0063.pdf
CLM-0064,RET-004,2026-02-07,INV-004-0025,,Damages,39.55,"damaged stock on delivery INV-004-0025, claiming USD 39.55",DOC-0064.pdf
CLM-0065,RET-002,2026-08-23,INV-002-0005,,Freight,350.81,"freight recovery USD 350.81 inv INV-002-0005  //fwd from finance team, pls action",DOC-0065.pdf
CLM-0066,RET-005,2026-04-10,INV-005-0005,,Damages,39.63,"damaged stock on delivery INV-005-0005, claiming USD 39.63",DOC-0066.pdf
CLM-0067,RET-002,2025-12-28,INV-002-0011,,Listing Fee,899.91,LISTING FEE Q3 - $899.91 - ref INV-002-0011,
CLM-0068,RET-005,2026-05-06,INV-005-0013,,Freight,233.96,freight recovery USD 233.96 inv INV-005-0013,DOC-0068.pdf
CLM-0069,RET-004,2025-11-30,INV-004-0028,PRM-0018,Co-op Marketing,918.35,marketing coop claim - $918.35,DOC-0069.pdf
CLM-0070,RET-001,2026-01-18,INV-001-0017,,Shortage,128.09,"QTY SHORTAGE CLAIM USD 128.09  //fwd from finance team, pls action",DOC-0070.pdf
CLM-0071,RET-004,2026-08-23,INV-004-0032,,Damages,189.78,"damaged stock on delivery INV-004-0032, claiming USD 189.78  //fwd from finance team, pls action",DOC-0071.pdf
CLM-0072,RET-006,2026-04-25,INV-006-0015,,Damages,40.93,"damaged stock on delivery INV-006-0015, claiming USD 40.93",
CLM-0073,RET-004,2026-08-23,INV-004-0026,,Price Difference,581.16,INVOICE PRICED HIGHER THAN TRADE TERMS. DIFF $581.16,DOC-0073.pdf
CLM-0074,RET-005,2026-07-02,INV-005-0012,,Shortage,114.58,short delivery on INV-005-0012. shortfall value USD 114.58,
CLM-0075,RET-004,2025-12-22,INV-004-0021,,Shortage,177.14,qty shortage claim USD 177.14,DOC-0075.pdf
CLM-0076,RET-003,2026-04-13,INV-003-0007,PRM-0012,Promo Discount Support,1086.51,"Pls process promo support for Shelf Reset as per agreement. amt $1,086.51. inv ref INV-003-0007",DOC-0076.pdf
CLM-0077,RET-004,2026-08-03,INV-004-0009,PRM-0019,Promo Discount Support,1402.79,"claiming promotional discount support Shelf Reset - total USD 1,402.79. see attached remittance",DOC-0077.pdf
CLM-0078,RET-001,2026-01-04,INV-001-0007,,Shortage,114.5,"QTY SHORTAGE CLAIM $114.50  //fwd from finance team, pls action",
CLM-0079,RET-004,2026-08-14,INV-004-0010,PRM-0021,Promo Discount Support,433.97,Deduction taken: Back-to-Campus support. $433.97. contact acct team for query,
CLM-0080,RET-002,2026-06-18,INV-002-0006,PRM-0009,Co-op Marketing,1122.76,"CO-OP MARKETING CONTRIBUTION DIAPER INTRO OFFER USD 1,122.76",DOC-0080.pdf
CLM-0081,RET-004,2025-12-26,INV-004-0019,PRM-0020,Co-op Marketing,1604.29,"marketing coop claim - $1,604.29  //fwd from finance team, pls action",
CLM-0082,RET-005,2025-12-23,INV-005-0006,PRM-0024,Damages,293.47,"Goods received damaged. Raising claim USD 293.47. photos w/ store mgr  //fwd from finance team, pls action",DOC-0082.pdf
CLM-0083,RET-004,2026-01-03,INV-004-0020,PRM-0018,Co-op Marketing,899.79,marketing coop claim - $899.79,DOC-0083.pdf
CLM-0084,RET-006,2026-06-23,INV-006-0004,,Co-op Marketing,3495.27,"MARKETING COOP CLAIM - USD 3,495.27",
CLM-0085,RET-005,2025-12-10,INV-005-0000,,Shortage,102.87,short delivery on INV-005-0000. shortfall value $102.87,DOC-0085.pdf
CLM-0086,RET-004,2026-06-02,INV-004-0018,,Damages,244.62,"damaged stock on delivery INV-004-0018, claiming $244.62",DOC-0086.pdf
CLM-0087,RET-006,2025-11-29,INV-006-0010,,Promo Discount Support,1715.3,"Pls process promo support for Shelf Reset as per agreement. amt $1,715.30. inv ref INV-006-0010",DOC-0087.pdf
CLM-0088,RET-002,2026-03-04,INV-002-0011,,Listing Fee,590.07,"ANNUAL LISTING FEE NEW SKU. USD 590.07. PER TRADE TERMS  //fwd from finance team, pls action",
CLM-0089,RET-001,2026-06-29,INV-001-0004,PRM-0000,Promo Discount Support,1326.65,"Pls process promo support for Payday Sale as per agreement. amt $1,326.65. inv ref INV-001-0004",DOC-0089.pdf
CLM-0090,RET-004,2026-08-23,INV-004-0014,,Freight,245.97,DELIVERY CHARGE BACK USD 245.97,DOC-0090.pdf
CLM-0091,RET-002,2026-05-23,INV-002-0012,,Price Difference,63.4,"price diff vs agreed list, claiming $63.40, inv INV-002-0012",DOC-0091.pdf
CLM-0092,RET-002,2026-04-22,INV-002-0003,,Damages,54.3,DMG claim $54.30 - pls credit note,DOC-0092.pdf
CLM-0093,RET-001,2026-01-17,INV-001-0033,,Freight,93.54,delivery charge back USD 93.54,
CLM-0094,RET-005,2026-08-22,INV-005-0014,,Freight,301.57,"delivery charge back $301.57  //fwd from finance team, pls action",DOC-0094.pdf
CLM-0095,RET-004,2026-08-23,INV-004-0022,,Freight,258.3,"DELIVERY CHARGE BACK USD 258.30  //fwd from finance team, pls action",DOC-0095.pdf
CLM-0096,RET-003,2026-03-06,INV-003-0012,,Freight,347.26,FREIGHT RECOVERY $347.26 INV INV-003-0012,DOC-0096.pdf
CLM-0097,RET-003,2026-03-01,INV-003-0012,,Damages,214.08,DMG claim $214.08 - pls credit note,DOC-0097.pdf
CLM-0098,RET-004,2026-07-31,INV-004-0024,,Damages,176.28,DMG claim $176.28 - pls credit note,
CLM-0099,RET-006,2026-07-09,INV-006-0007,PRM-0032,Co-op Marketing,323.05,co-op marketing contribution Diaper Intro Offer USD 323.05,
CLM-0100,RET-002,2026-08-23,INV-002-0007,,Shortage,70.91,short delivery on INV-002-0007. shortfall value $70.91,DOC-0100.pdf
CLM-0101,RET-004,2026-08-23,INV-004-0014,,Damages,40.7,DMG claim USD 40.70 - pls credit note,DOC-0101.pdf
CLM-0102,RET-003,2026-03-17,INV-003-0016,,Damages,348.45,"damaged stock on delivery INV-003-0016, claiming USD 348.45  //fwd from finance team, pls action",
CLM-0103,RET-001,2026-07-19,INV-001-0006,,Freight,228.43,"DELIVERY CHARGE BACK $228.43  //fwd from finance team, pls action",
CLM-0104,RET-003,2026-01-17,INV-003-0009,,Price Difference,390.36,invoice priced higher than trade terms. diff $390.36,DOC-0104.pdf
CLM-0105,RET-005,2026-04-21,INV-005-0005,,Shortage,40.42,short delivery on INV-005-0005. shortfall value USD 40.42,
CLM-0106,RET-001,2026-01-28,INV-001-0023,,Shortage,191.12,"short delivery on INV-001-0023. shortfall value USD 191.12  //fwd from finance team, pls action  (resubmission - not yet paid?)",DOC-0106.pdf
CLM-0107,RET-002,2026-06-16,INV-002-0001,,Listing Fee,886.56,LISTING FEE Q3 - USD 886.56 - ref INV-002-0001,DOC-0107.pdf
CLM-0108,RET-006,2026-04-08,INV-006-0014,,Damages,222.98,"damaged stock on delivery INV-006-0014, claiming $222.98",DOC-0108.pdf
CLM-0109,RET-004,2026-07-21,INV-004-0005,,Price Difference,50.96,"price diff vs agreed list, claiming $50.96, inv INV-004-0005",DOC-0109.pdf
CLM-0110,RET-001,2026-02-22,INV-001-0016,PRM-0001,Co-op Marketing,1370.69,"MARKETING COOP CLAIM - $1,370.69",DOC-0110.pdf
CLM-0111,RET-002,2025-11-21,INV-002-0011,,Shortage,130.38,"QTY SHORTAGE CLAIM $130.38  //fwd from finance team, pls action",DOC-0111.pdf
CLM-0112,RET-006,2026-04-14,INV-006-0006,,Damages,104.83,"damaged stock on delivery INV-006-0006, claiming USD 104.83",
CLM-0113,RET-001,2026-06-13,INV-001-0019,,Shortage,105.22,SHORT DELIVERY ON INV-001-0019. SHORTFALL VALUE USD 105.22,DOC-0113.pdf
CLM-0114,RET-004,2026-07-09,INV-004-0009,,Freight,232.27,freight recovery USD 232.27 inv INV-004-0009,DOC-0114.pdf
CLM-0115,RET-005,2026-02-22,INV-005-0001,,Damages,73.64,Goods received damaged. Raising claim $73.64. photos w/ store mgr,DOC-0115.pdf
CLM-0116,RET-001,2026-02-11,INV-001-0000,,Price Difference,251.6,INVOICE PRICED HIGHER THAN TRADE TERMS. DIFF $251.60,
CLM-0117,RET-006,2025-12-24,INV-006-0005,,Shortage,239.82,"short delivery on INV-006-0005. shortfall value USD 239.82  //fwd from finance team, pls action",DOC-0117.pdf
CLM-0118,RET-001,2026-03-16,INV-001-0043,,Listing Fee,198.24,"Annual listing fee new SKU. $198.24. per trade terms  //fwd from finance team, pls action",DOC-0118.pdf
CLM-0119,RET-003,2025-10-22,INV-003-0012,PRM-0017,Co-op Marketing,690.49,marketing coop claim - $690.49,DOC-0119.pdf
CLM-0120,RET-003,2026-05-22,INV-003-0014,,Freight,238.99,"delivery charge back $238.99  //fwd from finance team, pls action",DOC-0120.pdf
CLM-0121,RET-003,2026-05-16,INV-003-0003,PRM-0013,Promo Discount Support,1032.84,"CLAIMING PROMOTIONAL DISCOUNT SUPPORT SHELF RESET - TOTAL $1,032.84. SEE ATTACHED REMITTANCE",DOC-0121.pdf
CLM-0122,RET-002,2026-05-14,INV-002-0003,,Shortage,67.85,"short delivery on INV-002-0003. shortfall value $67.85  //fwd from finance team, pls action",DOC-0122.pdf
CLM-0123,RET-002,2026-08-23,INV-002-0007,PRM-0010,Promo Discount Support,751.51,Pls process promo support for Payday Sale as per agreement. amt $751.51. inv ref INV-002-0007,DOC-0123.pdf
CLM-0124,RET-005,2026-07-09,INV-005-0010,,Promo Discount Support,1129.86,"DEDUCTION TAKEN: BACK-TO-CAMPUS SUPPORT. $1,129.86. CONTACT ACCT TEAM FOR QUERY",DOC-0124.pdf
CLM-0125,RET-002,2026-04-19,INV-002-0003,PRM-0010,Promo Discount Support,756.99,DEDUCTION TAKEN: PAYDAY SALE SUPPORT. USD 756.99. CONTACT ACCT TEAM FOR QUERY,DOC-0125.pdf
CLM-0126,RET-001,2026-03-07,INV-001-0043,,Damages,127.99,"damaged stock on delivery INV-001-0043, claiming $127.99",DOC-0126.pdf
CLM-0127,RET-002,2026-08-07,INV-002-0010,,Freight,368.07,freight recovery USD 368.07 inv INV-002-0010,DOC-0127.pdf
CLM-0128,RET-006,2026-02-09,INV-006-0001,PRM-0033,Co-op Marketing,1123.78,"CO-OP MARKETING CONTRIBUTION SHELF RESET $1,123.78",
CLM-0129,RET-001,2026-03-25,INV-001-0035,,Price Difference,142.82,INVOICE PRICED HIGHER THAN TRADE TERMS. DIFF USD 142.82,DOC-0129.pdf
CLM-0130,RET-001,2026-08-23,INV-001-0002,PRM-0001,Co-op Marketing,1368.09,"marketing coop claim - $1,368.09",DOC-0130.pdf
CLM-0131,RET-002,2026-03-31,INV-002-0000,,Listing Fee,398.27,LISTING FEE Q3 - USD 398.27 - ref INV-002-0000,
CLM-0132,RET-004,2026-01-15,INV-004-0028,,Listing Fee,914.32,"Annual listing fee new SKU. USD 914.32. per trade terms  //fwd from finance team, pls action",DOC-0132.pdf
CLM-0133,RET-004,2025-09-26,INV-004-0013,,Shortage,39.14,"qty shortage claim USD 39.14  //fwd from finance team, pls action",
CLM-0134,RET-004,2026-01-30,INV-004-0008,PRM-0019,Damages,318.51,GOODS RECEIVED DAMAGED. RAISING CLAIM USD 318.51. PHOTOS W/ STORE MGR,DOC-0134.pdf
CLM-0135,RET-003,2026-03-29,INV-003-0005,PRM-0012,Co-op Marketing,1066.04,"marketing coop claim - $1,066.04",DOC-0135.pdf
CLM-0136,RET-001,2026-03-17,INV-001-0030,,Freight,161.61,DELIVERY CHARGE BACK USD 161.61,DOC-0136.pdf
CLM-0137,RET-004,2026-08-08,INV-004-0022,,Freight,438.54,freight recovery USD 438.54 inv INV-004-0022,DOC-0137.pdf
CLM-0138,RET-006,2026-04-10,INV-006-0001,,Freight,156.86,freight recovery $156.86 inv INV-006-0001,DOC-0138.pdf
CLM-0139,RET-006,2026-02-18,INV-006-0014,PRM-0032,Promo Discount Support,325.17,"claiming promotional discount support Diaper Intro Offer - total $325.17. see attached remittance  //fwd from finance team, pls action",DOC-0139.pdf
CLM-0140,RET-006,2026-03-14,INV-006-0012,,Freight,239.51,delivery charge back $239.51,DOC-0140.pdf
CLM-0141,RET-005,2026-05-23,INV-005-0013,,Price Difference,132.41,invoice priced higher than trade terms. diff USD 132.41,DOC-0141.pdf
CLM-0142,RET-001,2026-04-13,INV-001-0010,PRM-0002,Co-op Marketing,892.94,CO-OP MARKETING CONTRIBUTION RAMADAN BUNDLE $892.94,
CLM-0143,RET-006,2026-01-31,INV-006-0003,,Price Difference,86.19,"PRICE DIFF VS AGREED LIST, CLAIMING USD 86.19, INV INV-006-0003",
CLM-0144,RET-005,2026-08-23,INV-005-0004,,Shortage,39.65,qty shortage claim USD 39.65,
CLM-0145,RET-004,2026-05-01,INV-004-0025,PRM-0020,Promo Discount Support,1368.6,"Pls process promo support for Ramadan Bundle as per agreement. amt USD 1,368.60. inv ref INV-004-0025",
CLM-0146,RET-006,2026-02-25,INV-006-0000,PRM-0030,Co-op Marketing,443.79,"CO-OP MARKETING CONTRIBUTION NIGHT PAD LAUNCH $443.79  //fwd from finance team, pls action",DOC-0146.pdf
CLM-0147,RET-003,2026-08-23,INV-003-0008,,Shortage,114.82,short delivery on INV-003-0008. shortfall value $114.82,DOC-0147.pdf
CLM-0148,RET-004,2026-06-19,INV-004-0002,,Damages,49.38,"DAMAGED STOCK ON DELIVERY INV-004-0002, CLAIMING $49.38",
CLM-0149,RET-001,2026-07-26,INV-001-0003,,Damages,40.71,"damaged stock on delivery INV-001-0003, claiming $40.71",DOC-0149.pdf
CLM-0150,RET-001,2026-08-17,INV-001-0022,PRM-0006,Co-op Marketing,449.69,co-op marketing contribution Night Pad Launch USD 449.69,DOC-0150.pdf
CLM-0151,RET-005,2026-08-11,INV-005-0010,PRM-0026,Promo Discount Support,484.78,CLAIMING PROMOTIONAL DISCOUNT SUPPORT BACK-TO-CAMPUS - TOTAL USD 484.78. SEE ATTACHED REMITTANCE  (resubmission - not yet paid?),DOC-0151.pdf
CLM-0152,RET-005,2026-03-22,INV-005-0013,,Listing Fee,610.43,"ANNUAL LISTING FEE NEW SKU. USD 610.43. PER TRADE TERMS  //fwd from finance team, pls action",
CLM-0153,RET-002,2026-01-19,INV-002-0002,PRM-0008,Co-op Marketing,1491.8,"marketing coop claim - $1,491.80  //fwd from finance team, pls action",DOC-0153.pdf
CLM-0154,RET-004,2026-08-14,INV-004-0006,PRM-0023,Co-op Marketing,1164.62,"marketing coop claim - $1,164.62",
CLM-0155,RET-003,2026-04-02,INV-003-0013,,Listing Fee,594.89,LISTING FEE Q3 - $594.89 - ref INV-003-0013,DOC-0155.pdf
CLM-0156,RET-006,2025-11-17,INV-006-0017,,Freight,149.02,DELIVERY CHARGE BACK USD 149.02,DOC-0156.pdf
CLM-0157,RET-006,2026-08-23,INV-006-0002,PRM-0036,Damages,288.43,"damaged stock on delivery INV-006-0002, claiming $288.43",DOC-0157.pdf
CLM-0158,RET-005,2026-06-12,INV-005-0013,,Price Difference,97.1,INVOICE PRICED HIGHER THAN TRADE TERMS. DIFF $97.10,DOC-0158.pdf
CLM-0159,RET-005,2026-05-13,INV-005-0005,,Freight,79.47,delivery charge back $79.47,
CLM-0160,RET-004,2025-12-17,INV-004-0027,,Price Difference,175.06,"invoice priced higher than trade terms. diff $175.06  //fwd from finance team, pls action",DOC-0160.pdf
CLM-0161,RET-004,2026-08-23,INV-004-0006,,Listing Fee,602.8,LISTING FEE Q3 - USD 602.80 - ref INV-004-0006,DOC-0161.pdf
CLM-0162,RET-003,2026-07-27,INV-003-0008,,Listing Fee,393.86,Annual listing fee new SKU. $393.86. per trade terms,DOC-0162.pdf
CLM-0163,RET-003,2026-06-15,INV-003-0003,,Damages,186.41,DMG claim USD 186.41 - pls credit note,DOC-0163.pdf
CLM-0164,RET-005,2026-05-25,INV-005-0002,PRM-0029,Promo Discount Support,312.42,Deduction taken: Shelf Reset support. USD 312.42. contact acct team for query,DOC-0164.pdf
CLM-0165,RET-004,2026-03-03,INV-004-0021,,Price Difference,268.05,invoice priced higher than trade terms. diff $268.05,DOC-0165.pdf
CLM-0166,RET-006,2025-11-16,INV-006-0012,,Damages,39.47,"DAMAGED STOCK ON DELIVERY INV-006-0012, CLAIMING USD 39.47",DOC-0166.pdf
CLM-0167,RET-006,2026-04-29,INV-006-0006,,Listing Fee,603.78,LISTING FEE Q3 - USD 603.78 - ref INV-006-0006,
CLM-0168,RET-002,2026-05-14,INV-002-0008,,Freight,301.81,delivery charge back $301.81,DOC-0168.pdf
CLM-0169,RET-005,2026-04-22,INV-005-0007,,Damages,39.68,"damaged stock on delivery INV-005-0007, claiming $39.68",DOC-0169.pdf
CLM-0170,RET-004,2026-08-12,INV-004-0010,PRM-0019,Co-op Marketing,1372.29,"MARKETING COOP CLAIM - $1,372.29",DOC-0170.pdf
CLM-0171,RET-002,2026-04-14,INV-002-0003,,Listing Fee,908.02,Annual listing fee new SKU. $908.02. per trade terms,DOC-0171.pdf
CLM-0172,RET-005,2026-08-09,INV-005-0010,PRM-0026,Promo Discount Support,480.75,claiming promotional discount support Back-to-Campus - total $480.75. see attached remittance,DOC-0172.pdf
