claim_id,retailer_id,contract_id,claim_type,claimed_amount_usd,verdict,gate,reason,entitled_amount_usd,excess_usd,basis,citation,decided_at
CLM-0018,RET-004,CONTRACT_BETA,Shortage,151.61,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Shortage),,0.0,no reference value available for Shortage,,2026-08-25T16:58:22Z
CLM-0019,RET-003,CONTRACT_ALPHA,Listing Fee,591.57,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Listing Fee),,0.0,no reference value available for Listing Fee,,2026-08-25T16:58:22Z
CLM-0020,RET-003,CONTRACT_ALPHA,Promo Discount Support,1320.27,AUTO_CLEAR,0-clear,passed every gate,1302.41,0.0,agreed support on PRM-0016,,2026-08-25T16:58:22Z
CLM-0021,RET-001,CONTRACT_ALPHA,Damages,40.96,AUTO_CLEAR,2-materiality,US$40.96 below the US$150 review threshold,40.96,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0022,RET-002,CONTRACT_ALPHA,Freight,383.22,HOLD,6-substantiation,no supporting document and above the materiality threshold,,0.0,no reference value available for Freight,"claim_substantiation_guidelines.md clause G3.1: ""A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.""",2026-08-25T16:58:22Z
CLM-0023,RET-001,CONTRACT_ALPHA,Unclassified,422.05,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Unclassified),,0.0,no reference value available for Unclassified,,2026-08-25T16:58:22Z
CLM-0024,RET-003,CONTRACT_ALPHA,Shortage,318.18,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Shortage),,0.0,no reference value available for Shortage,,2026-08-25T16:58:22Z
CLM-0025,RET-002,CONTRACT_ALPHA,Listing Fee,589.61,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Listing Fee),,0.0,no reference value available for Listing Fee,,2026-08-25T16:58:22Z
CLM-0026,RET-004,CONTRACT_BETA,Shortage,39.34,AUTO_CLEAR,2-materiality,US$39.34 below the US$150 review threshold,39.34,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0027,RET-001,CONTRACT_ALPHA,Promo Discount Support,895.35,AUTO_CLEAR,0-clear,passed every gate,906.34,0.0,agreed support on PRM-0002,,2026-08-25T16:58:22Z
CLM-0028,RET-005,CONTRACT_BETA,Listing Fee,196.19,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Listing Fee),,0.0,no reference value available for Listing Fee,,2026-08-25T16:58:22Z
CLM-0029,RET-005,CONTRACT_BETA,Shortage,208.28,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Shortage),,0.0,no reference value available for Shortage,,2026-08-25T16:58:22Z
CLM-0030,RET-003,CONTRACT_ALPHA,Co-op Marketing,1252.98,REJECT,4-arithmetic,"claimed US$1,252.98 vs recomputed US$1,023.63 (tolerance US$51.18)",1023.63,229.35,agreed support on PRM-0013,"trade_terms_appendix.md clause A2.1: ""A variance between the claimed amount and the Supplier's recomputed entitlement of five per cent (5%) or fifty United States dollars (US$50), whichever is greater, is treated as within tolerance and is not challenged.""",2026-08-25T16:58:22Z
CLM-0031,RET-005,CONTRACT_BETA,Freight,226.93,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Freight),,0.0,no reference value available for Freight,,2026-08-25T16:58:22Z
CLM-0032,RET-004,CONTRACT_BETA,Listing Fee,3495.5,HOLD,7-authority,"US$3,495.50 exceeds the US$2,000 KAM settlement authority",,0.0,no reference value available for Listing Fee,"trade_terms_appendix.md clause A3.2: ""Claims above US$2,000 require Commercial Manager approval before settlement, regardless of whether the claim is otherwise valid and fully substantiated.""",2026-08-25T16:58:22Z
CLM-0033,RET-005,CONTRACT_BETA,Co-op Marketing,1624.71,REJECT,5-duplicate,"same retailer, invoice, type and amount as CLM-0000 (2026-08-23)",0.0,1624.71,,"trade_terms_appendix.md clause A5.1: ""Two claims are treated as duplicates where they share the same Retailer, the same Supplier invoice reference, the same claim type and the same claimed amount.""",2026-08-25T16:58:22Z
CLM-0034,RET-004,CONTRACT_BETA,Promo Discount Support,896.96,AUTO_CLEAR,0-clear,passed every gate,905.09,0.0,agreed support on PRM-0018,,2026-08-25T16:58:22Z
CLM-0035,RET-003,CONTRACT_ALPHA,Shortage,245.01,HOLD,6-substantiation,no supporting document and above the materiality threshold,,0.0,no reference value available for Shortage,"claim_substantiation_guidelines.md clause G3.1: ""A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.""",2026-08-25T16:58:22Z
CLM-0036,RET-004,CONTRACT_BETA,Freight,76.55,AUTO_CLEAR,2-materiality,US$76.55 below the US$150 review threshold,76.55,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0037,RET-006,CONTRACT_BETA,Freight,436.4,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Freight),,0.0,no reference value available for Freight,,2026-08-25T16:58:22Z
CLM-0038,RET-004,CONTRACT_BETA,Co-op Marketing,900.96,AUTO_CLEAR,0-clear,passed every gate,905.09,0.0,agreed support on PRM-0018,,2026-08-25T16:58:22Z
CLM-0039,RET-003,CONTRACT_ALPHA,Damages,53.61,AUTO_CLEAR,2-materiality,US$53.61 below the US$150 review threshold,53.61,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0040,RET-004,CONTRACT_BETA,Damages,124.77,AUTO_CLEAR,2-materiality,US$124.77 below the US$150 review threshold,124.77,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0041,RET-002,CONTRACT_ALPHA,Promo Discount Support,1133.63,AUTO_CLEAR,0-clear,passed every gate,1108.93,0.0,agreed support on PRM-0009,,2026-08-25T16:58:22Z
CLM-0042,RET-006,CONTRACT_BETA,Listing Fee,5922.31,HOLD,6-substantiation,no supporting document and above the materiality threshold,,0.0,no reference value available for Listing Fee,"claim_substantiation_guidelines.md clause G3.1: ""A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.""",2026-08-25T16:58:22Z
CLM-0043,RET-003,CONTRACT_ALPHA,Damages,256.62,HOLD,6-substantiation,no supporting document and above the materiality threshold,261.05,0.0,"35 damaged units x US$10.93, capped at 1.5% of invoice","claim_substantiation_guidelines.md clause G3.1: ""A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.""",2026-08-25T16:58:22Z
CLM-0044,RET-005,CONTRACT_BETA,Shortage,39.75,AUTO_CLEAR,2-materiality,US$39.75 below the US$150 review threshold,39.75,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0045,RET-001,CONTRACT_ALPHA,Price Difference,152.98,HOLD,6-substantiation,no supporting document and above the materiality threshold,,0.0,no reference value available for Price Difference,"claim_substantiation_guidelines.md clause G3.1: ""A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.""",2026-08-25T16:58:22Z
CLM-0046,RET-005,CONTRACT_BETA,Promo Discount Support,315.04,AUTO_CLEAR,0-clear,passed every gate,312.07,0.0,agreed support on PRM-0029,,2026-08-25T16:58:22Z
CLM-0047,RET-001,CONTRACT_ALPHA,Freight,141.35,AUTO_CLEAR,2-materiality,US$141.35 below the US$150 review threshold,141.35,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0048,RET-003,CONTRACT_ALPHA,Co-op Marketing,1108.69,AUTO_CLEAR,0-clear,passed every gate,1088.48,0.0,agreed support on PRM-0012,,2026-08-25T16:58:22Z
CLM-0049,RET-004,CONTRACT_BETA,Co-op Marketing,1392.98,HOLD,6-substantiation,no supporting document and above the materiality threshold,1378.79,0.0,agreed support on PRM-0020,"claim_substantiation_guidelines.md clause G3.1: ""A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.""",2026-08-25T16:58:22Z
CLM-0050,RET-002,CONTRACT_ALPHA,Unclassified,1498.19,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Unclassified),,0.0,no reference value available for Unclassified,,2026-08-25T16:58:22Z
CLM-0051,RET-004,CONTRACT_BETA,Damages,342.61,REJECT,3-clause,"damages claimed at 4.43% of gross invoice, allowance is 3.0%",232.05,110.56,"0 damaged units x US$2.60, capped at 3.0% of invoice","contract_beta.md clause 9.4: ""The Retailer's damages allowance is three per cent (3.0%) of the gross invoice value of the consignment. Damages claimed in excess of 3.0% of gross invoice value are not payable without prior written agreement of the Supplier. The higher allowance reflects extended last-mile transit conditions in the Indonesian market.""",2026-08-25T16:58:22Z
CLM-0052,RET-006,CONTRACT_BETA,Co-op Marketing,699.95,HOLD,6-substantiation,no supporting document and above the materiality threshold,713.25,0.0,agreed support on PRM-0034,"claim_substantiation_guidelines.md clause G3.1: ""A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.""",2026-08-25T16:58:22Z
CLM-0053,RET-005,CONTRACT_BETA,Price Difference,129.48,AUTO_CLEAR,2-materiality,US$129.48 below the US$150 review threshold,129.48,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0054,RET-003,CONTRACT_ALPHA,Co-op Marketing,1280.11,HOLD,6-substantiation,no supporting document and above the materiality threshold,1302.41,0.0,agreed support on PRM-0016,"claim_substantiation_guidelines.md clause G3.1: ""A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.""",2026-08-25T16:58:22Z
CLM-0055,RET-002,CONTRACT_ALPHA,Co-op Marketing,1275.23,AUTO_CLEAR,0-clear,passed every gate,1297.71,0.0,agreed support on PRM-0007,,2026-08-25T16:58:22Z
CLM-0056,RET-006,CONTRACT_BETA,Promo Discount Support,877.45,REJECT,5-duplicate,"same retailer, invoice, type and amount as CLM-0001 (2026-01-17)",0.0,877.45,,"trade_terms_appendix.md clause A5.1: ""Two claims are treated as duplicates where they share the same Retailer, the same Supplier invoice reference, the same claim type and the same claimed amount.""",2026-08-25T16:58:22Z
CLM-0057,RET-006,CONTRACT_BETA,Co-op Marketing,1070.39,REJECT,4-arithmetic,"claimed US$1,070.39 vs recomputed US$875.60 (tolerance US$50.00)",875.6,194.79,agreed support on PRM-0035,"trade_terms_appendix.md clause A2.1: ""A variance between the claimed amount and the Supplier's recomputed entitlement of five per cent (5%) or fifty United States dollars (US$50), whichever is greater, is treated as within tolerance and is not challenged.""",2026-08-25T16:58:22Z
CLM-0058,RET-005,CONTRACT_BETA,Damages,245.47,REJECT,3-clause,"damages claimed at 4.89% of gross invoice, allowance is 3.0%",150.44,95.03,"11 damaged units x US$1.80, capped at 3.0% of invoice","contract_beta.md clause 9.4: ""The Retailer's damages allowance is three per cent (3.0%) of the gross invoice value of the consignment. Damages claimed in excess of 3.0% of gross invoice value are not payable without prior written agreement of the Supplier. The higher allowance reflects extended last-mile transit conditions in the Indonesian market.""",2026-08-25T16:58:22Z
CLM-0059,RET-001,CONTRACT_ALPHA,Freight,225.53,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Freight),,0.0,no reference value available for Freight,,2026-08-25T16:58:22Z
CLM-0060,RET-003,CONTRACT_ALPHA,Listing Fee,604.45,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Listing Fee),,0.0,no reference value available for Listing Fee,,2026-08-25T16:58:22Z
CLM-0061,RET-005,CONTRACT_BETA,Damages,52.52,AUTO_CLEAR,2-materiality,US$52.52 below the US$150 review threshold,52.52,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0062,RET-003,CONTRACT_ALPHA,Freight,345.35,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Freight),,0.0,no reference value available for Freight,,2026-08-25T16:58:22Z
CLM-0063,RET-004,CONTRACT_BETA,Co-op Marketing,1343.87,AUTO_CLEAR,0-clear,passed every gate,1358.04,0.0,agreed support on PRM-0022,,2026-08-25T16:58:22Z
CLM-0064,RET-004,CONTRACT_BETA,Damages,39.55,AUTO_CLEAR,2-materiality,US$39.55 below the US$150 review threshold,39.55,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0065,RET-002,CONTRACT_ALPHA,Freight,350.81,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Freight),,0.0,no reference value available for Freight,,2026-08-25T16:58:22Z
CLM-0066,RET-005,CONTRACT_BETA,Damages,39.63,AUTO_CLEAR,2-materiality,US$39.63 below the US$150 review threshold,39.63,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0067,RET-002,CONTRACT_ALPHA,Listing Fee,899.91,HOLD,6-substantiation,no supporting document and above the materiality threshold,,0.0,no reference value available for Listing Fee,"claim_substantiation_guidelines.md clause G3.1: ""A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.""",2026-08-25T16:58:22Z
CLM-0068,RET-005,CONTRACT_BETA,Freight,233.96,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Freight),,0.0,no reference value available for Freight,,2026-08-25T16:58:22Z
CLM-0069,RET-004,CONTRACT_BETA,Co-op Marketing,918.35,AUTO_CLEAR,0-clear,passed every gate,905.09,0.0,agreed support on PRM-0018,,2026-08-25T16:58:22Z
CLM-0070,RET-001,CONTRACT_ALPHA,Shortage,128.09,AUTO_CLEAR,2-materiality,US$128.09 below the US$150 review threshold,128.09,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0071,RET-004,CONTRACT_BETA,Damages,189.78,REJECT,3-clause,"damages claimed at 5.59% of gross invoice, allowance is 3.0%",101.92,87.86,"12 damaged units x US$3.04, capped at 3.0% of invoice","contract_beta.md clause 9.4: ""The Retailer's damages allowance is three per cent (3.0%) of the gross invoice value of the consignment. Damages claimed in excess of 3.0% of gross invoice value are not payable without prior written agreement of the Supplier. The higher allowance reflects extended last-mile transit conditions in the Indonesian market.""",2026-08-25T16:58:22Z
CLM-0072,RET-006,CONTRACT_BETA,Damages,40.93,AUTO_CLEAR,2-materiality,US$40.93 below the US$150 review threshold,40.93,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0073,RET-004,CONTRACT_BETA,Price Difference,581.16,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Price Difference),,0.0,no reference value available for Price Difference,,2026-08-25T16:58:22Z
CLM-0074,RET-005,CONTRACT_BETA,Shortage,114.58,AUTO_CLEAR,2-materiality,US$114.58 below the US$150 review threshold,114.58,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0075,RET-004,CONTRACT_BETA,Shortage,177.14,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Shortage),,0.0,no reference value available for Shortage,,2026-08-25T16:58:22Z
CLM-0076,RET-003,CONTRACT_ALPHA,Promo Discount Support,1086.51,AUTO_CLEAR,0-clear,passed every gate,1088.48,0.0,agreed support on PRM-0012,,2026-08-25T16:58:22Z
CLM-0077,RET-004,CONTRACT_BETA,Promo Discount Support,1402.79,AUTO_CLEAR,0-clear,passed every gate,1372.34,0.0,agreed support on PRM-0019,,2026-08-25T16:58:22Z
CLM-0078,RET-001,CONTRACT_ALPHA,Shortage,114.5,AUTO_CLEAR,2-materiality,US$114.50 below the US$150 review threshold,114.5,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0079,RET-004,CONTRACT_BETA,Unclassified,433.97,HOLD,6-substantiation,no supporting document and above the materiality threshold,,0.0,no reference value available for Unclassified,"claim_substantiation_guidelines.md clause G3.1: ""A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.""",2026-08-25T16:58:22Z
CLM-0080,RET-002,CONTRACT_ALPHA,Co-op Marketing,1122.76,AUTO_CLEAR,0-clear,passed every gate,1108.93,0.0,agreed support on PRM-0009,,2026-08-25T16:58:22Z
CLM-0081,RET-004,CONTRACT_BETA,Co-op Marketing,1604.29,REJECT,4-arithmetic,"claimed US$1,604.29 vs recomputed US$1,378.79 (tolerance US$68.94)",1378.79,225.5,agreed support on PRM-0020,"trade_terms_appendix.md clause A2.1: ""A variance between the claimed amount and the Supplier's recomputed entitlement of five per cent (5%) or fifty United States dollars (US$50), whichever is greater, is treated as within tolerance and is not challenged.""",2026-08-25T16:58:22Z
CLM-0082,RET-005,CONTRACT_BETA,Damages,293.47,REJECT,3-clause,"damages claimed at 4.57% of gross invoice, allowance is 3.0%",192.46,101.01,"10 damaged units x US$2.39, capped at 3.0% of invoice","contract_beta.md clause 9.4: ""The Retailer's damages allowance is three per cent (3.0%) of the gross invoice value of the consignment. Damages claimed in excess of 3.0% of gross invoice value are not payable without prior written agreement of the Supplier. The higher allowance reflects extended last-mile transit conditions in the Indonesian market.""",2026-08-25T16:58:22Z
CLM-0083,RET-004,CONTRACT_BETA,Co-op Marketing,899.79,AUTO_CLEAR,0-clear,passed every gate,905.09,0.0,agreed support on PRM-0018,,2026-08-25T16:58:22Z
CLM-0084,RET-006,CONTRACT_BETA,Listing Fee,3495.27,HOLD,6-substantiation,no supporting document and above the materiality threshold,,0.0,no reference value available for Listing Fee,"claim_substantiation_guidelines.md clause G3.1: ""A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.""",2026-08-25T16:58:22Z
CLM-0085,RET-005,CONTRACT_BETA,Shortage,102.87,AUTO_CLEAR,2-materiality,US$102.87 below the US$150 review threshold,102.87,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0086,RET-004,CONTRACT_BETA,Damages,244.62,AUTO_CLEAR,0-clear,passed every gate,247.96,0.0,"120 damaged units x US$2.60, capped at 3.0% of invoice",,2026-08-25T16:58:22Z
CLM-0087,RET-006,CONTRACT_BETA,Promo Discount Support,1715.3,REJECT,3-clause,promotional support claimed with no pre-approved promotion reference,0.0,1715.3,,"contract_beta.md clause 5.2: ""A claim for promotional support that does not quote a valid, pre-approved promotion reference is not payable, irrespective of whether the promotion took place in store.""",2026-08-25T16:58:22Z
CLM-0088,RET-002,CONTRACT_ALPHA,Listing Fee,590.07,REJECT,1-window,"submitted 114 days after invoice, window is 90 days",0.0,590.07,,"contract_alpha.md clause 7.2: ""Claims must be submitted within ninety (90) days of the date of the Supplier invoice to which they relate. Claims submitted after this period lapse and are not payable. No extension of this period is granted by the Supplier's continued trading with the Retailer.""",2026-08-25T16:58:22Z
CLM-0089,RET-001,CONTRACT_ALPHA,Promo Discount Support,1326.65,REJECT,1-window,"submitted 145 days after invoice, window is 90 days",0.0,1326.65,,"contract_alpha.md clause 7.2: ""Claims must be submitted within ninety (90) days of the date of the Supplier invoice to which they relate. Claims submitted after this period lapse and are not payable. No extension of this period is granted by the Supplier's continued trading with the Retailer.""",2026-08-25T16:58:22Z
CLM-0090,RET-004,CONTRACT_BETA,Freight,245.97,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Freight),,0.0,no reference value available for Freight,,2026-08-25T16:58:22Z
CLM-0091,RET-002,CONTRACT_ALPHA,Price Difference,63.4,AUTO_CLEAR,2-materiality,US$63.40 below the US$150 review threshold,63.4,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
