claim_id,retailer_id,contract_id,verdict,gate,claimed_amount_usd,excess_usd,source_document,clause,clause_text,decided_at
CLM-0030,RET-003,CONTRACT_ALPHA,REJECT,4-arithmetic,1252.98,229.35,trade_terms_appendix.md,A2.1,"A variance between the claimed amount and the Supplier's recomputed entitlement of five per cent (5%) or fifty United States dollars (US$50), whichever is greater, is treated as within tolerance and is not challenged.",2026-08-23T10:55:28Z
CLM-0032,RET-004,CONTRACT_BETA,HOLD,7-authority,3495.5,0.0,trade_terms_appendix.md,A3.2,"Claims above US$2,000 require Commercial Manager approval before settlement, regardless of whether the claim is otherwise valid and fully substantiated.",2026-08-23T10:55:28Z
CLM-0033,RET-005,CONTRACT_BETA,REJECT,5-duplicate,1624.71,1624.71,trade_terms_appendix.md,A5.1,"Two claims are treated as duplicates where they share the same Retailer, the same Supplier invoice reference, the same claim type and the same claimed amount.",2026-08-23T10:55:28Z
CLM-0035,RET-003,CONTRACT_ALPHA,HOLD,6-substantiation,245.01,0.0,claim_substantiation_guidelines.md,G3.1,"A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.",2026-08-23T10:55:28Z
CLM-0036,RET-004,CONTRACT_BETA,AUTO_CLEAR,2-materiality,76.55,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0039,RET-003,CONTRACT_ALPHA,AUTO_CLEAR,2-materiality,53.61,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0040,RET-004,CONTRACT_BETA,AUTO_CLEAR,2-materiality,124.77,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0042,RET-006,CONTRACT_BETA,HOLD,6-substantiation,5922.31,0.0,claim_substantiation_guidelines.md,G3.1,"A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.",2026-08-23T10:55:28Z
CLM-0043,RET-003,CONTRACT_ALPHA,HOLD,6-substantiation,256.62,0.0,claim_substantiation_guidelines.md,G3.1,"A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.",2026-08-23T10:55:28Z
CLM-0044,RET-005,CONTRACT_BETA,AUTO_CLEAR,2-materiality,39.75,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0045,RET-001,CONTRACT_ALPHA,HOLD,6-substantiation,152.98,0.0,claim_substantiation_guidelines.md,G3.1,"A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.",2026-08-23T10:55:28Z
CLM-0047,RET-001,CONTRACT_ALPHA,AUTO_CLEAR,2-materiality,141.35,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0049,RET-004,CONTRACT_BETA,HOLD,6-substantiation,1392.98,0.0,claim_substantiation_guidelines.md,G3.1,"A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.",2026-08-23T10:55:28Z
CLM-0051,RET-004,CONTRACT_BETA,REJECT,3-clause,342.61,110.56,contract_beta.md,9.4,The Retailer's damages allowance is three per cent (3.0%) of the gross invoice value of the consignment. Damages claimed in excess of 3.0% of gross invoice value are not payable without prior written agreement of the Supplier. The higher allowance reflects extended last-mile transit conditions in the Indonesian market.,2026-08-23T10:55:28Z
CLM-0052,RET-006,CONTRACT_BETA,HOLD,6-substantiation,699.95,0.0,claim_substantiation_guidelines.md,G3.1,"A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.",2026-08-23T10:55:28Z
CLM-0053,RET-005,CONTRACT_BETA,AUTO_CLEAR,2-materiality,129.48,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0054,RET-003,CONTRACT_ALPHA,HOLD,6-substantiation,1280.11,0.0,claim_substantiation_guidelines.md,G3.1,"A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.",2026-08-23T10:55:28Z
CLM-0056,RET-006,CONTRACT_BETA,REJECT,5-duplicate,877.45,877.45,trade_terms_appendix.md,A5.1,"Two claims are treated as duplicates where they share the same Retailer, the same Supplier invoice reference, the same claim type and the same claimed amount.",2026-08-23T10:55:28Z
CLM-0057,RET-006,CONTRACT_BETA,REJECT,4-arithmetic,1070.39,194.79,trade_terms_appendix.md,A2.1,"A variance between the claimed amount and the Supplier's recomputed entitlement of five per cent (5%) or fifty United States dollars (US$50), whichever is greater, is treated as within tolerance and is not challenged.",2026-08-23T10:55:28Z
CLM-0058,RET-005,CONTRACT_BETA,REJECT,3-clause,245.47,95.03,contract_beta.md,9.4,The Retailer's damages allowance is three per cent (3.0%) of the gross invoice value of the consignment. Damages claimed in excess of 3.0% of gross invoice value are not payable without prior written agreement of the Supplier. The higher allowance reflects extended last-mile transit conditions in the Indonesian market.,2026-08-23T10:55:28Z
CLM-0061,RET-005,CONTRACT_BETA,AUTO_CLEAR,2-materiality,52.52,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0064,RET-004,CONTRACT_BETA,AUTO_CLEAR,2-materiality,39.55,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0066,RET-005,CONTRACT_BETA,AUTO_CLEAR,2-materiality,39.63,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0067,RET-002,CONTRACT_ALPHA,HOLD,6-substantiation,899.91,0.0,claim_substantiation_guidelines.md,G3.1,"A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.",2026-08-23T10:55:28Z
CLM-0070,RET-001,CONTRACT_ALPHA,AUTO_CLEAR,2-materiality,128.09,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0071,RET-004,CONTRACT_BETA,REJECT,3-clause,189.78,87.86,contract_beta.md,9.4,The Retailer's damages allowance is three per cent (3.0%) of the gross invoice value of the consignment. Damages claimed in excess of 3.0% of gross invoice value are not payable without prior written agreement of the Supplier. The higher allowance reflects extended last-mile transit conditions in the Indonesian market.,2026-08-23T10:55:28Z
CLM-0072,RET-006,CONTRACT_BETA,AUTO_CLEAR,2-materiality,40.93,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0074,RET-005,CONTRACT_BETA,AUTO_CLEAR,2-materiality,114.58,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0078,RET-001,CONTRACT_ALPHA,AUTO_CLEAR,2-materiality,114.5,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0079,RET-004,CONTRACT_BETA,HOLD,6-substantiation,433.97,0.0,claim_substantiation_guidelines.md,G3.1,"A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.",2026-08-23T10:55:28Z
CLM-0081,RET-004,CONTRACT_BETA,REJECT,4-arithmetic,1604.29,225.5,trade_terms_appendix.md,A2.1,"A variance between the claimed amount and the Supplier's recomputed entitlement of five per cent (5%) or fifty United States dollars (US$50), whichever is greater, is treated as within tolerance and is not challenged.",2026-08-23T10:55:28Z
CLM-0082,RET-005,CONTRACT_BETA,REJECT,3-clause,293.47,101.01,contract_beta.md,9.4,The Retailer's damages allowance is three per cent (3.0%) of the gross invoice value of the consignment. Damages claimed in excess of 3.0% of gross invoice value are not payable without prior written agreement of the Supplier. The higher allowance reflects extended last-mile transit conditions in the Indonesian market.,2026-08-23T10:55:28Z
CLM-0084,RET-006,CONTRACT_BETA,HOLD,6-substantiation,3495.27,0.0,claim_substantiation_guidelines.md,G3.1,"A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.",2026-08-23T10:55:28Z
CLM-0085,RET-005,CONTRACT_BETA,AUTO_CLEAR,2-materiality,102.87,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0087,RET-006,CONTRACT_BETA,REJECT,3-clause,1715.3,1715.3,contract_beta.md,5.2,"A claim for promotional support that does not quote a valid, pre-approved promotion reference is not payable, irrespective of whether the promotion took place in store.",2026-08-23T10:55:28Z
CLM-0088,RET-002,CONTRACT_ALPHA,REJECT,1-window,590.07,590.07,contract_alpha.md,7.2,Claims must be submitted within ninety (90) days of the date of the Supplier invoice to which they relate. Claims submitted after this period lapse and are not payable. No extension of this period is granted by the Supplier's continued trading with the Retailer.,2026-08-23T10:55:28Z
CLM-0089,RET-001,CONTRACT_ALPHA,REJECT,1-window,1326.65,1326.65,contract_alpha.md,7.2,Claims must be submitted within ninety (90) days of the date of the Supplier invoice to which they relate. Claims submitted after this period lapse and are not payable. No extension of this period is granted by the Supplier's continued trading with the Retailer.,2026-08-23T10:55:28Z
CLM-0091,RET-002,CONTRACT_ALPHA,AUTO_CLEAR,2-materiality,63.4,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0092,RET-002,CONTRACT_ALPHA,AUTO_CLEAR,2-materiality,54.3,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0093,RET-001,CONTRACT_ALPHA,AUTO_CLEAR,2-materiality,93.54,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0096,RET-003,CONTRACT_ALPHA,REJECT,1-window,347.26,347.26,contract_alpha.md,7.2,Claims must be submitted within ninety (90) days of the date of the Supplier invoice to which they relate. Claims submitted after this period lapse and are not payable. No extension of this period is granted by the Supplier's continued trading with the Retailer.,2026-08-23T10:55:28Z
CLM-0097,RET-003,CONTRACT_ALPHA,REJECT,1-window,214.08,214.08,contract_alpha.md,7.2,Claims must be submitted within ninety (90) days of the date of the Supplier invoice to which they relate. Claims submitted after this period lapse and are not payable. No extension of this period is granted by the Supplier's continued trading with the Retailer.,2026-08-23T10:55:28Z
CLM-0098,RET-004,CONTRACT_BETA,HOLD,6-substantiation,176.28,0.0,claim_substantiation_guidelines.md,G3.1,"A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.",2026-08-23T10:55:28Z
CLM-0099,RET-006,CONTRACT_BETA,HOLD,6-substantiation,323.05,0.0,claim_substantiation_guidelines.md,G3.1,"A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.",2026-08-23T10:55:28Z
CLM-0100,RET-002,CONTRACT_ALPHA,AUTO_CLEAR,2-materiality,70.91,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0101,RET-004,CONTRACT_BETA,AUTO_CLEAR,2-materiality,40.7,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0102,RET-003,CONTRACT_ALPHA,REJECT,3-clause,348.45,87.4,contract_alpha.md,9.4,The Retailer's damages allowance is one point five per cent (1.5%) of the gross invoice value of the consignment. Damages claimed in excess of 1.5% of gross invoice value are not payable without prior written agreement of the Supplier.,2026-08-23T10:55:28Z
CLM-0103,RET-001,CONTRACT_ALPHA,HOLD,6-substantiation,228.43,0.0,claim_substantiation_guidelines.md,G3.1,"A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.",2026-08-23T10:55:28Z
CLM-0105,RET-005,CONTRACT_BETA,AUTO_CLEAR,2-materiality,40.42,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0106,RET-001,CONTRACT_ALPHA,REJECT,5-duplicate,191.12,191.12,trade_terms_appendix.md,A5.1,"Two claims are treated as duplicates where they share the same Retailer, the same Supplier invoice reference, the same claim type and the same claimed amount.",2026-08-23T10:55:28Z
CLM-0108,RET-006,CONTRACT_BETA,REJECT,3-clause,222.98,104.99,contract_beta.md,9.4,The Retailer's damages allowance is three per cent (3.0%) of the gross invoice value of the consignment. Damages claimed in excess of 3.0% of gross invoice value are not payable without prior written agreement of the Supplier. The higher allowance reflects extended last-mile transit conditions in the Indonesian market.,2026-08-23T10:55:28Z
CLM-0109,RET-004,CONTRACT_BETA,AUTO_CLEAR,2-materiality,50.96,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0111,RET-002,CONTRACT_ALPHA,AUTO_CLEAR,2-materiality,130.38,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0112,RET-006,CONTRACT_BETA,AUTO_CLEAR,2-materiality,104.83,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0113,RET-001,CONTRACT_ALPHA,AUTO_CLEAR,2-materiality,105.22,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0115,RET-005,CONTRACT_BETA,AUTO_CLEAR,2-materiality,73.64,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0116,RET-001,CONTRACT_ALPHA,HOLD,6-substantiation,251.6,0.0,claim_substantiation_guidelines.md,G3.1,"A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.",2026-08-23T10:55:28Z
CLM-0122,RET-002,CONTRACT_ALPHA,AUTO_CLEAR,2-materiality,67.85,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0126,RET-001,CONTRACT_ALPHA,AUTO_CLEAR,2-materiality,127.99,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0128,RET-006,CONTRACT_BETA,HOLD,6-substantiation,1123.78,0.0,claim_substantiation_guidelines.md,G3.1,"A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.",2026-08-23T10:55:28Z
CLM-0129,RET-001,CONTRACT_ALPHA,AUTO_CLEAR,2-materiality,142.82,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0131,RET-002,CONTRACT_ALPHA,HOLD,6-substantiation,398.27,0.0,claim_substantiation_guidelines.md,G3.1,"A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.",2026-08-23T10:55:28Z
CLM-0133,RET-004,CONTRACT_BETA,AUTO_CLEAR,2-materiality,39.14,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0134,RET-004,CONTRACT_BETA,REJECT,3-clause,318.51,140.89,contract_beta.md,9.4,The Retailer's damages allowance is three per cent (3.0%) of the gross invoice value of the consignment. Damages claimed in excess of 3.0% of gross invoice value are not payable without prior written agreement of the Supplier. The higher allowance reflects extended last-mile transit conditions in the Indonesian market.,2026-08-23T10:55:28Z
CLM-0140,RET-006,CONTRACT_BETA,REJECT,1-window,239.51,239.51,contract_beta.md,7.2,Claims must be submitted within one hundred and twenty (120) days of the date of the Supplier invoice to which they relate. Claims submitted after this period lapse and are not payable. The longer period reflects the Retailer's month-end consolidation cycle across the Malaysian and Indonesian markets.,2026-08-23T10:55:28Z
CLM-0141,RET-005,CONTRACT_BETA,AUTO_CLEAR,2-materiality,132.41,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0142,RET-001,CONTRACT_ALPHA,REJECT,1-window,892.94,892.94,contract_alpha.md,7.2,Claims must be submitted within ninety (90) days of the date of the Supplier invoice to which they relate. Claims submitted after this period lapse and are not payable. No extension of this period is granted by the Supplier's continued trading with the Retailer.,2026-08-23T10:55:28Z
CLM-0143,RET-006,CONTRACT_BETA,AUTO_CLEAR,2-materiality,86.19,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0144,RET-005,CONTRACT_BETA,AUTO_CLEAR,2-materiality,39.65,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0145,RET-004,CONTRACT_BETA,REJECT,1-window,1368.6,1368.6,contract_beta.md,7.2,Claims must be submitted within one hundred and twenty (120) days of the date of the Supplier invoice to which they relate. Claims submitted after this period lapse and are not payable. The longer period reflects the Retailer's month-end consolidation cycle across the Malaysian and Indonesian markets.,2026-08-23T10:55:28Z
CLM-0147,RET-003,CONTRACT_ALPHA,AUTO_CLEAR,2-materiality,114.82,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0148,RET-004,CONTRACT_BETA,AUTO_CLEAR,2-materiality,49.38,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0149,RET-001,CONTRACT_ALPHA,AUTO_CLEAR,2-materiality,40.71,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0151,RET-005,CONTRACT_BETA,REJECT,5-duplicate,484.78,484.78,trade_terms_appendix.md,A5.1,"Two claims are treated as duplicates where they share the same Retailer, the same Supplier invoice reference, the same claim type and the same claimed amount.",2026-08-23T10:55:28Z
CLM-0152,RET-005,CONTRACT_BETA,HOLD,6-substantiation,610.43,0.0,claim_substantiation_guidelines.md,G3.1,"A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.",2026-08-23T10:55:28Z
CLM-0154,RET-004,CONTRACT_BETA,REJECT,4-arithmetic,1164.62,123.44,trade_terms_appendix.md,A2.1,"A variance between the claimed amount and the Supplier's recomputed entitlement of five per cent (5%) or fifty United States dollars (US$50), whichever is greater, is treated as within tolerance and is not challenged.",2026-08-23T10:55:28Z
CLM-0156,RET-006,CONTRACT_BETA,AUTO_CLEAR,2-materiality,149.02,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0157,RET-006,CONTRACT_BETA,REJECT,3-clause,288.43,121.69,contract_beta.md,9.4,The Retailer's damages allowance is three per cent (3.0%) of the gross invoice value of the consignment. Damages claimed in excess of 3.0% of gross invoice value are not payable without prior written agreement of the Supplier. The higher allowance reflects extended last-mile transit conditions in the Indonesian market.,2026-08-23T10:55:28Z
CLM-0158,RET-005,CONTRACT_BETA,AUTO_CLEAR,2-materiality,97.1,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
CLM-0159,RET-005,CONTRACT_BETA,AUTO_CLEAR,2-materiality,79.47,0.0,trade_terms_appendix.md,A2.3,"Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.",2026-08-23T10:55:28Z
